Table: Table_1

,AREA ,PRODUCT ,PETRON ,SHELL ,CALTEX ,PHOENIX ,FLYING V ,SEAOIL ,JETTI ,MY GAS ,INDEPENDENT ,OVERALL DANCE ,COMMON DDICE ,AVERAGE DDICE ,
AREA ,,PRODUCT ,PETRON ,SHELL ,CALTEX ,PHOENIX ,FLYING V ,SEAOIL ,JETTI ,MY GAS ,INDEPENDENT ,OVERALL DANCE ,COMMON DDICE ,AVERAGE DDICE ,
,,RON 97 ,- ,- ,,76.05 - 80.50 ,,77.55-77.55 ,- ,,- ,76.05 - 80.50 ,NONE ,78.03 ,
,,RON 95 ,75.55 75.55 ,75.85 77.70 ,,75.55 80.25 ,,76.10 76.10 ,77.25 77.25 ,,74.80 75.60 ,74.80 80.25 ,75.55 ,76.42 ,
,Opol ,RON 91 ,74.80 74.80 ,74.20 75.10 ,NO BRANCH/ OUTLET ,74.80 79.95 ,NO BRANCH/ OUTLET ,82.10 82.10 ,76.50 76.50 ,NO BRANCH/ OUTLET ,74.85 75.55 ,74.20 82.10 ,74.80 ,76.29 ,
,,DIESEL ,78.89 78.89 ,80.14 80.75 ,,78.89 82.70 ,,- ,80.69 80.69 ,,77.35 78.89 ,77.35 82.70 ,78.89 ,79.69 ,
,,KEROSENE ,- ,- ,,- ,,- ,- ,,- ,- ,NONE ,NONE ,
,,RON 97 ,- ,- ,,- ,- ,,- ,,- ,- ,NONE ,NONE ,
,,RON 95 ,- ,75.85 75.85 ,,78.53 78.53 ,- ,,76.10 76.10 ,,72.05 75.65 ,72.05 - 78.53 ,NONE ,75.64 ,
,Tagoloan ,RON 91 ,- ,75.10 75.10 ,NO BRANCH/ ,- ,- ,NO BRANCH/ ,75.60 75.60 ,NO BRANCH/ ,71.55 74.90 ,71.55 75.60 ,NONE ,74.29 ,
,,DIESEL ,- ,80.16 80.16 ,OUTLET ,78.81 78.81 ,- ,OUTLET ,80.50 80.50 ,OUTLET ,78.55 79.96 ,78.55 80.50 ,NONE ,79.60 ,
,,DIESEL PLUS ,- ,86.16 86.16 ,,- ,- ,,- ,,- ,86.16 86.16 ,NONE ,86.16 ,
,,KEROSENE ,- ,- ,,- ,- ,,- ,,- ,- ,NONE ,NONE ,
,,RON 100 ,- ,,- ,,,- ,,,- ,- ,NONE ,NONE ,
,,RON 97 ,- ,,- ,,,- ,,,- ,- ,NONE ,NONE ,
,,RON 95 ,81.10 81.10 ,,- ,,,80.10 80.10 ,,,81.10 81.10 ,80.10 81.10 ,81.10 ,80.77 ,
,Oroquieta City ,RON 91 ,80.60 80.60 ,NO BRANCH/ OUTLET ,- ,NO BRANCH/ OUTLET ,NO BRANCH/ OUTLET ,79.25 79.25 ,NO BRANCH/ OUTLET ,NO BRANCH/ OUTLET ,80.60 80.60 ,79.25 80.60 ,80.60 ,80.15 ,
,,DIESEL ,84.25 84.25 ,,- ,,,83.00 83.00 ,,,84.25 84.25 ,83.00 84.25 ,84.25 ,83.83 ,
,,DIESEL PLUS ,- ,,- ,,,- ,,,91.76 91.76 ,91.76 91.76 ,NONE ,91.76 ,
,,KEROSENE ,- ,,- ,,,- ,,,89.62 89.62 ,89.62 89.62 ,NONE ,89.62 ,
,,RON 100 ,83.94 83.94 ,- ,- ,- ,,- ,,,- ,83.94 83.94 ,NONE ,83.94 ,
,,RON 97 ,,- ,- ,- ,,- ,,,- ,- ,NONE ,NONE ,
,,RON 95 ,81.82 81.94 ,82.44 82.44 ,81.94 81.94 ,- ,,81.94 81.94 ,,,81.89 81.89 ,81.82 82.44 ,81.94 ,82.03 ,
,Ozamiz City ,RON 91 ,81.19 81.32 ,81.69 81.69 ,81.19 81.19 ,- ,NO BRANCH/ OUTLET ,81.19 81.19 ,NO BRANCH/ OUTLET ,NO BRANCH/ OUTLET ,- ,81.19 81.69 ,81.19 ,81.33 ,
,,DIESEL ,84.73 85.12 ,85.23 85.23 ,84.73 84.73 ,- ,,84.73 84.73 ,,,84.70 84.70 ,84.70 85.23 ,84.73 ,84.88 ,
,,DIESEL PLUS ,86.73 86.73 ,89.84 89.84 ,- ,- ,,- ,,,- ,86.73 89.84 ,86.73 ,88.29 ,
,,KEROSENE ,- ,- ,- ,- ,,- ,,,- ,- ,NONE ,NONE ,
Misamis ,,RON 100 ,- ,,- ,,,- ,,,,- ,NONE ,NONE ,
Occidental ,,RON 97 ,N.A ,,N.A ,,,N.A ,,,,- ,NONE ,NONE ,
,,RON 95 ,71.90 71.90 ,NO BRANCH/ ,- ,NO BRANCH/ ,NO BRANCH/ ,82.20 82.20 ,NO BRANCH/ ,NO BRANCH/ ,NO BRANCH/ ,71.90 82.20 ,NONE ,77.05 ,
,Tangub City ,RON 91 ,71.20 71.20 ,OUTLET ,- ,OUTLET ,OUTLET ,81.20 81.20 ,OUTLET ,OUTLET ,OUTLET ,71.20 81.20 ,NONE ,76.20 ,
,,DIESEL ,84.63 84.63 ,,- ,,,84.63 84.63 ,,,,84.63 84.63 ,84.63 ,84.63 ,
,,DIESEL PLUS ,- ,,- ,,,N.A ,,,,- ,NONE ,NONE ,





Table: Table_1

,AREA ,PRODUCT ,PETRON ,SHELL ,CALTEX ,PHOENIX ,FLYING V ,SEAOIL ,JETTI ,MY GAS ,INDEPENDENT ,OVERALL BANCE ,COMMON PRICE ,AVERAGE PRICE ,
,,RON 100 ,- ,,- ,,,,,,- ,- ,NONE ,NONE ,
,,RON 97 ,- ,,- ,,,,,,- ,- ,NONE ,NONE ,
,,RON 95 ,- ,,80.47 80.47 ,,,,,,79.47 80.45 ,79.47 80.47 ,NONE ,80.13 ,
,Jimenez ,RON 91 ,- ,NO BRANCH/ OUTLET ,79.72 79.72 ,NO BRANCH/ OUTLET ,NO BRANCH/ OUTLET ,NO BRANCH/ OUTLET ,NO BRANCH/ OUTLET ,NO BRANCH/ OUTLET ,78.72 79.72 ,78.72 79.72 ,79.72 ,79.39 ,
,,DIESEL ,- ,,83.33 83.33 ,,,,,,82.32 83.32 ,82.32 83.33 ,NONE ,82.99 ,
,,DIESEL PLUS ,- ,,- ,,,,,,- ,- ,NONE ,NONE ,
,,KEROSENE ,- ,,- ,,,,,,90.05 90.05 ,90.05 90.05 ,NONE ,90.05 ,
,,RON 100 ,- ,- ,,,,- ,- ,,- ,- ,NONE ,NONE ,
,,RON 97 ,N.A ,N.A ,,,,- ,N.A ,,N.A ,- ,NONE ,NONE ,
,,RON 95 ,77.55 77.55 ,73.95 73.95 ,,,,77.00 77.00 ,71.71 71.71 ,,73.65 79.35 ,71.71 79.35 ,NONE ,75.34 ,
,Valencia City ,RON 91 ,77.05 77.05 ,73.20 73.20 ,NO BRANCH/ OUTLET ,NO BRANCH/ OUTLET ,NO BRANCH/ OUTLET ,76.50 76.50 ,71.61 71.61 ,NO BRANCH/ OUTLET ,73.55 75.80 ,71.61 77.05 ,NONE ,74.60 ,
,,DIESEL ,79.55 79.55 ,79.07 79.07 ,,,,81.10 81.10 ,78.31 78.31 ,,75.30 79.10 ,75.30 81.10 ,NONE ,78.14 ,
,,DIESEL PLUS ,- ,84.97 84.97 ,,,,- ,N.A ,,N.A ,84.97 84.97 ,NONE ,84.97 ,
,,KEROSENE ,- ,- ,,,,- ,N.A ,,- ,- ,NONE ,NONE ,
,,RON 100 ,- ,- ,- ,,- ,- ,- ,,- ,- ,NONE ,NONE ,
,,RON 97 ,N.A ,N.A ,N.A ,,N.A ,N.A ,N.A ,,N.A ,- ,NONE ,NONE ,
,,RON 95 ,75.00 79.70 ,77.60 78.90 ,76.90 79.06 ,,74.75 74.75 ,- ,75.00 75.00 ,,74.05 75.00 ,74.05 79.70 ,75.00 ,76.31 ,
,Malaybalay City ,RON 91 ,74.25 78.70 ,77.10 78.15 ,75.90 78.89 ,NO BRANCH/ OUTLET ,74.55 74.55 ,- ,74.25 74.25 ,NO BRANCH/ OUTLET ,73.90 74.55 ,73.90 78.89 ,74.25 ,75.74 ,
,,DIESEL ,78.55 80.20 ,80.40 80.90 ,79.47 79.70 ,,77.15 77.15 ,- ,78.55 78.55 ,,77.15 78.55 ,77.15 80.90 ,78.55 ,78.93 ,
,,DIESEL PLUS ,- ,86.30 86.70 ,N.A ,,N.A ,N.A ,N.A ,,N.A ,86.30 86.70 ,NONE ,86.50 ,
Bukidnon ,,KEROSENE ,90.00 90.00 ,- ,- ,,- ,N.A ,N.A ,,75.00 75.00 ,75.00 90.00 ,NONE ,82.50 ,
,,RON 100 ,- ,,,,,,,,- ,- ,NONE ,NONE ,
,,RON 97 ,- ,,,,,,,,- ,- ,NONE ,NONE ,
,,RON 95 ,- ,NO BRANCH/ ,NO BRANCH/ ,NO BRANCH/ ,NO BRANCH/ ,NO BRANCH/ ,NO BRANCH/ ,NO BRANCH/ ,83.03 83.03 ,83.03 83.03 ,83.03 ,83.03 ,
,Manolo Fortich ,RON 91 ,- ,OUTLET ,OUTLET ,OUTLET ,OUTLET ,OUTLET ,OUTLET ,OUTLET ,81.98 81.98 ,81.98 81.98 ,81.98 ,81.98 ,
,,DIESEL ,- ,,,,,,,,81.95 81.95 ,81.95 81.95 ,81.95 ,81.95 ,
,,DIESEL PLUS ,- ,,,,,,,,- ,- ,NONE ,NONE ,
,,KEROSENE ,- ,,,,,,,,- ,- ,NONE ,NONE ,





Table: Table_1

,AREA ,PRODUCT ,PETRON ,SHELL ,CALTEX ,PHOENIX ,FLYING V ,SEAOIL ,JETTI ,MY GAS ,INDEPENDENT ,OVERALL DANCE ,COMMON PRICE ,AVERAGE PRICE ,
Province ,Cities ,,,,,,,REGION X ,,,,,,,
,,RON 97 ,N.A ,N.A ,N.A ,74.95 81.55 ,N.A ,N.A ,N.A ,,N.A ,74.95 81.55 ,NONE ,79.26 ,
,,RON 95 ,73.95 73.95 ,76.70 77.55 ,74.91 81.65 ,74.45 80.80 ,78.50 78.50 ,- ,75.45 78.60 ,,73.55 74.50 ,73.55 - 81.65 ,73.95 ,76.09 ,
,Cagayan de Oro ,RON 91 ,73.20 73.20 ,73.30 74.70 ,73.71 81.40 ,73.70 80.39 ,77.75 77.75 ,- ,74.19 78.10 ,NO BRANCH/ ,73.05 74.00 ,73.05 81.40 ,73.20 ,74.80 ,
,City ,DIESEL ,78.25 78.26 ,78.75 80.24 ,78.74 82.05 ,78.75 83.00 ,80.81 80.81 ,- ,80.06 81.25 ,OUTLET ,76.60 78.25 ,76.60 83.00 ,78.25 ,79.42 ,
,,DIESEL PLUS ,80.25 80.25 ,85.24 87.57 ,N.A ,N.A ,N.A ,N.A ,N.A ,,N.A ,80.25 87.57 ,NONE ,84.80 ,
,,KEROSENE ,81.52 81.53 ,- ,- ,N.A ,- ,N.A ,N.A ,,- ,81.52 81.53 ,NONE ,81.53 ,
,,RON 95 ,75.55 75.55 ,77.22 77.22 ,,- ,,- ,75.55 75.55 ,,75.55 75.55 ,75.55 77.22 ,75.55 ,NONE ,
,,RON 91 ,74.80 74.80 ,76.20 76.20 ,,- ,,- ,74.80 74.80 ,,74.80 74.80 ,74.80 76.20 ,74.80 ,75.97 ,
,El Salvador City ,DIESEL ,80.89 80.89 ,81.20 81.20 ,NO BRANCH/ OUTLET ,- ,NO BRANCH/ OUTLET ,- ,80.89 80.89 ,NO BRANCH/ OUTLET ,78.79 78.79 ,78.79 81.20 ,80.89 ,75.15 ,
,,DIESEL PLUS ,- ,82.20 82.20 ,,- ,,- ,- ,,- ,82.20 82.20 ,NONE ,80.44 ,
,,KEROSENE ,- ,- ,,- ,,- ,- ,,- ,- ,NONE ,82.20 ,
,,RON 97 ,- ,- ,- ,- ,,- ,,,- ,- ,NONE ,NONE ,
,,RON 95 ,78.00 78.00 ,- ,- ,- ,,- ,,,78.00 78.80 ,78.00 78.80 ,78.00 ,78.40 ,
,Gingoog City ,RON 91 ,77.25 77.25 ,- ,- ,- ,NO BRANCH/ ,- ,NO BRANCH/ ,NO BRANCH/ ,77.25 77.85 ,77.25 77.85 ,77.25 ,77.45 ,
,,DIESEL ,80.06 80.06 ,- ,- ,- ,OUTLET ,- ,OUTLET ,OUTLET ,80.06 81.12 ,80.06 81.12 ,80.06 ,80.59 ,
,,DIESEL PLUS ,- ,- ,- ,- ,,- ,,,- ,- ,NONE ,NONE ,
,,KEROSENE RON 97 ,- - ,- ,- ,- - ,,- - ,,,- - ,- - ,NONE NONE ,NONE NONE ,
Misamis ,,RON 95 ,- ,,,- ,,84.18 84.18 ,,,78.60 81.00 ,78.60 84.18 ,78.60 ,80.60 ,
Oriental ,Balingasag ,RON 91 ,- ,NO BRANCH/ ,NO BRANCH/ ,- ,NO BRANCH/ ,83.91 83.91 ,NO BRANCH/ ,NO BRANCH/ ,78.20 78.80 ,78.20 83.91 ,78.20 ,79.78 ,
,,DIESEL ,- ,OUTLET ,OUTLET ,- ,OUTLET ,83.85 83.85 ,OUTLET ,OUTLET ,78.15 80.05 ,78.15 83.85 ,78.15 ,80.05 ,
,,DIESEL PLUS ,- ,,,- ,,- ,,,- ,- ,NONE ,NONE ,
,,KEROSENE ,- ,,,- ,,- ,,,- ,- ,NONE ,NONE ,
,,RON 95 ,80.20 81.45 ,81.45 81.45 ,,- ,- ,,,,80.80 80.80 ,80.20 81.45 ,81.45 ,80.98 ,
,Villanueva ,RON 91 ,80.70 81.00 ,80.70 80.70 ,NO BRANCH/ ,- ,- ,NO BRANCH/ ,NO BRANCH/ ,NO BRANCH/ ,80.70 80.70 ,80.70 81.00 ,80.70 ,80.78 ,
,,DIESEL ,83.01 83.01 ,83.01 83.01 ,OUTLET ,- ,- ,OUTLET ,OUTLET ,OUTLET ,83.01 83.01 ,83.01 83.01 ,83.01 ,83.01 ,
,,KEROSENE ,- ,- ,,- ,- ,,,,- ,- ,NONE ,NONE ,





Table: Table_1

,AREA ,PRODUCT ,PETRON ,SHELL ,CALTEX ,PHOENIX ,FLYING V ,SEAOIL ,JETTI ,MY GAS ,INDEPENDENT ,OVERALL ,COMMON ,AVERAGE ,
,Cities ,,,,,Liquid ,Fuels Price ,Range ,,,,RANGE ,PRICE ,PRICE ,
Province ,,,,,,,,REGION IX ,,,,,,,
,,RON 97 ,N.A ,N.A ,N.A ,82.41 82.61 ,,N.A ,,,N.A ,82.41 82.61 ,NONE ,82.51 ,
,,RON 95 ,79.61 79.86 ,80.11 81.11 ,79.61 79.61 ,82.11 82.11 ,,79.61 79.61 ,,,79.61 81.66 ,79.61 82.11 ,79.61 ,80.22 ,
,Zamboanga City ,RON 91 ,78.86 79.11 ,79.36 79.36 ,78.86 78.86 ,81.36 81.36 ,NO BRANCH/ ,78.86 78.86 ,NO BRANCH/ ,NO BRANCH/ ,78.86 78.86 ,78.86 81.36 ,78.86 ,79.31 ,
,,DIESEL ,81.02 81.23 ,81.52 83.92 ,81.02 81.03 ,83.53 83.53 ,OUTLET ,80.02 80.02 ,OUTLET ,OUTLET ,81.03 83.95 ,80.02 83.95 ,81.03 ,81.59 ,
Zamboanga del ,,DIESEL PLUS ,83.02 83.02 ,87.42 87.42 ,N.A ,N.A ,,N.A ,,,N.A ,83.02 87.42 ,87.42 ,85.95 ,
Sur ,,KEROSENE ,83.70 83.70 ,- ,83.13 83.13 ,N.A ,,N.A ,,,- ,83.13 83.70 ,83.13 ,83.32 ,
,,RON 95 ,78.20 78.20 ,- ,- ,- ,,78.20 78.20 ,- ,,78.45 78.45 ,78.20 78.45 ,78.20 ,78.25 ,
,Pagadian City ,RON 91 ,77.70 77.70 ,- ,- ,- ,NO BRANCH/ ,77.70 77.70 ,- ,NO BRANCH/ ,77.95 77.95 ,77.70 77.95 ,77.70 ,77.76 ,
,,DIESEL ,80.30 80.30 ,- ,- ,- ,OUTLET ,80.30 80.30 ,- ,OUTLET ,80.55 80.55 ,80.30 80.55 ,80.30 ,80.35 ,
,,KEROSENE ,- ,- ,- ,N.A ,,N.A ,N.A ,,80.20 80.20 ,80.20 80.20 ,NONE ,80.20 ,
,,RON 95 ,77.21 77.21 ,79.21 79.21 ,78.25 78.25 ,- ,,- ,,,,77.21 79.21 ,NONE ,78.22 ,
,Dapitan City ,RON 91 ,76.71 76.71 ,- ,78.05 78.05 ,- ,NO BRANCH/ OUTLET ,- ,NO BRANCH/ OUTLET ,NO BRANCH/ OUTLET ,NO BRANCH/ OUTLET ,76.71 78.05 ,NONE ,77.38 ,
,,DIESEL ,82.57 82.57 ,83.82 83.82 ,83.85 83.85 ,- ,,- ,,,,82.57 83.85 ,NONE ,83.41 ,
,,RON 100 ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,NONE ,NONE ,
Zamboanga del ,,RON 97 ,- ,N.A ,N.A ,- ,N.A ,N.A ,N.A ,N.A ,N.A ,- ,NONE ,NONE ,
Norte ,,RON 95 ,74.21 77.21 ,77.71 79.11 ,78.55 78.55 ,- ,- ,77.21 77.21 ,- ,- ,75.50 75.50 ,74.21 79.11 ,77.21 ,77.21 ,
,Dipolog City ,RON 91 ,73.56 76.71 ,77.21 78.96 ,78.30 78.30 ,- ,- ,76.71 76.71 ,- ,- ,75.50 75.50 ,73.56 78.96 ,76.71 ,76.81 ,
,,DIESEL ,78.22 82.57 ,83.07 84.31 ,83.80 83.80 ,- ,- ,82.57 82.57 ,- ,- ,76.65 76.65 ,76.65 84.31 ,82.57 ,81.99 ,
,,DIESEL PLUS ,- ,90.27 90.27 ,N.A ,N.A ,N.A ,- ,N.A ,N.A ,N.A ,90.27 90.27 ,90.27 ,90.27 ,
,,KEROSENE ,- ,- ,- ,N.A ,- ,N.A ,N.A ,- ,- ,- ,NONE ,NONE ,
Basilan ,Isabela ,RON 95 RON 91 ,NO BRANCH/ ,NO BRANCH/ ,NO BRANCH/ ,NO BRANCH/ ,NO BRANCH/ ,NO BRANCH/ ,NO BRANCH/ ,NO BRANCH/ ,- 81.85 81.85 ,- 81.85 81.85 ,NONE 81.85 ,NONE 81.85 ,
,City ,DIESEL ,OUTLET ,OUTLET ,OUTLET ,OUTLET ,OUTLET ,OUTLET ,OUTLET ,OUTLET ,84.35 84.85 ,84.35 84.85 ,84.35 ,84.52 ,
,,KEROSENE ,,,,,,,,,80.60 80.60 ,80.60 80.60 ,NONE ,80.60 ,
